spot,slug,date,wave_height_m,wave_direction_deg,wave_period_s,swell_height_m,swell_direction_deg,swell_period_s,wind_speed_kmh,wind_direction_deg,wind_gusts_kmh,observation_label,notes
Cow Bay (Osbourne),cow-bay,2017-07-10,,,,,,,10.2,219,23.8,,
Cow Bay (Osbourne),cow-bay,2017-08-02,,,,,,,7.0,78,16.6,,
Cow Bay (Osbourne),cow-bay,2017-08-07,,,,,,,14.4,270,31.3,,
Cow Bay (Osbourne),cow-bay,2017-08-09,,,,,,,10.1,287,23.0,,
Cow Bay (Osbourne),cow-bay,2017-08-29,,,,,,,6.1,357,14.8,,
Cow Bay (Osbourne),cow-bay,2017-09-13,,,,,,,11.5,319,23.4,,
Cow Bay (Osbourne),cow-bay,2017-10-01,,,,,,,6.1,273,13.3,,
Cow Bay (Osbourne),cow-bay,2017-10-13,,,,,,,4.0,5,12.2,,
Cow Bay (Osbourne),cow-bay,2017-11-30,,,,,,,15.9,321,36.4,,
Cow Bay (Osbourne),cow-bay,2018-05-14,,,,,,,9.5,171,22.7,,
Cow Bay (Osbourne),cow-bay,2018-12-27,,,,,,,23.0,311,47.5,,
Cow Bay (Osbourne),cow-bay,2019-01-19,,,,,,,20.4,312,39.6,,
Cow Bay (Osbourne),cow-bay,2019-01-29,,,,,,,19.7,8,44.6,,
Cow Bay (Osbourne),cow-bay,2019-02-03,,,,,,,16.7,303,36.0,,
Cow Bay (Osbourne),cow-bay,2019-02-10,,,,,,,27.4,287,58.0,,
Cow Bay (Osbourne),cow-bay,2019-02-15,,,,,,,5.4,8,14.8,,
Cow Bay (Osbourne),cow-bay,2019-02-20,,,,,,,25.7,312,55.8,,
Cow Bay (Osbourne),cow-bay,2019-02-23,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-02-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-03-17,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-03-20,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-03-25,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-03-27,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-04-04,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-04-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-05-01,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-06-08,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-06-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-06-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-06-20,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-06-23,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-06-25,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-07-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-07-05,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-07-08,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-07-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-07-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-07-18,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-07-20,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-07-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-08-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-08-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-08-17,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-08-17,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-09-01,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-09-08,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-09-13,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-09-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-09-26,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-09-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-10-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-10-06,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-10-16,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-10-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-11-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-11-17,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-11-27,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2019-12-07,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-01-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-01-31,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-02-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-02-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-02-23,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-03-06,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-03-16,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-03-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-04-05,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-04-25,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-04-30,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-05-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-05-20,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-05-23,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-06-04,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-06-17,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-06-19,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-07-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-08-01,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-08-23,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-08-26,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-08-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-09-05,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-09-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-09-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-09-20,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-09-25,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-10-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-10-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-10-22,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-11-04,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-11-19,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-11-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-11-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-11-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2020-12-16,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-01-13,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-01-20,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-02-09,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-02-27,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-03-04,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-03-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-04-08,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-04-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-04-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-04-20,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-04-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-05-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-05-13,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-05-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-05-25,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-06-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-06-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-06-17,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-06-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-08-01,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-08-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-08-16,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-08-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-08-26,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-08-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-09-07,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-09-20,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-09-22,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-09-27,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-10-05,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-10-07,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-10-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-11-01,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-11-04,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-11-04,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-11-06,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-11-09,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-11-11,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-11-16,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-12-04,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-12-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2021-12-26,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-02-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-02-19,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-02-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-03-11,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-04-05,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-04-13,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-04-18,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-04-20,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-05-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-05-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-05-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-05-20,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-05-25,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-06-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-06-07,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-06-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-06-19,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-06-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-07-04,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-07-07,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-07-09,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-07-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-07-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-07-27,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-08-13,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-08-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-08-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-09-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-09-07,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-09-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-09-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-09-17,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-09-25,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-09-30,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-10-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-10-20,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-10-22,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-10-30,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-11-09,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-11-19,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-11-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-11-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2022-11-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-01-25,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-01-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-02-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-02-09,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-02-22,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-02-27,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-03-11,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-03-19,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-03-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-04-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-04-08,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-04-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-04-13,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-04-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-05-23,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-05-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-05-30,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-06-22,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-07-14,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-07-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-08-01,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-08-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-08-23,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-08-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-09-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-09-05,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-09-25,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-09-27,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-10-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-10-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-10-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-11-19,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-11-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-11-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-11-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-12-09,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2023-12-16,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-01-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-02-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-02-27,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-03-20,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-04-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-04-22,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-04-27,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-05-07,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-05-14,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-05-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-05-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-06-06,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-06-16,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-06-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-06-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-07-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-07-08,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-07-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-07-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-08-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-08-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-08-22,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-08-25,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-08-30,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-09-04,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-09-11,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-09-14,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-09-16,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-09-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-10-09,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-10-19,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-10-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-11-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-11-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-12-13,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-12-13,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-12-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2024-12-23,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-01-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-02-11,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-03-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-03-13,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-03-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-03-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-04-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-04-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-05-14,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-05-14,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-05-27,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-06-11,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-06-16,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-06-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-07-01,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-07-16,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-07-23,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-07-26,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-07-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-07-30,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-08-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-08-02,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-08-07,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-08-12,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-08-15,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-08-17,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-08-19,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-09-01,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-09-04,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-09-14,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-09-16,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-09-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-09-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-10-01,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-10-04,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-10-06,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-10-11,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-10-21,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-10-24,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-11-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-11-05,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-11-23,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-12-05,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-12-18,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2025-12-23,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2026-01-29,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2026-02-13,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2026-02-28,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2026-03-03,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2026-03-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2026-03-10,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2026-03-18,,,,,,,,,,,
Cow Bay (Osbourne),cow-bay,2026-03-20,1.16,131,7.65,1.02,131,6.7,7.6,98,9.0,,
